artist,tot_track,below_or_above_avg
Judas Priest,16,ABOVE AVERAGE
Julian Bream,1,BELOW AVERAGE
Karsh Kale,2,BELOW AVERAGE
Kent Nagano and Orchestre de l'Opéra de Lyon,1,BELOW AVERAGE
Kiss,35,ABOVE AVERAGE
Led Zeppelin,114,ABOVE AVERAGE
Legião Urbana,31,ABOVE AVERAGE
Lenny Kravitz,57,ABOVE AVERAGE
Leonard Bernstein & New York Philharmonic,1,BELOW AVERAGE
Les Arts Florissants & William Christie,1,BELOW AVERAGE
London Symphony Orchestra & Sir Charles Mackerras,1,BELOW AVERAGE
Lost,92,ABOVE AVERAGE
Luciana Souza/Romero Lubambo,1,BELOW AVERAGE
Luciano Pavarotti,1,BELOW AVERAGE
Lulu Santos,28,ABOVE AVERAGE
Marcos Valle,17,ABOVE AVERAGE
Marillion,10,BELOW AVERAGE
Marisa Monte,18,ABOVE AVERAGE
Martin Roscoe,1,BELOW AVERAGE
Marvin Gaye,18,ABOVE AVERAGE
Maurizio Pollini,1,BELOW AVERAGE
"Mela Tenenbaum, Pro Musica Prague & Richard Kapp",1,BELOW AVERAGE
Men At Work,10,BELOW AVERAGE
Metallica,112,ABOVE AVERAGE
Michael Tilson Thomas & San Francisco Symphony,2,BELOW AVERAGE
Michele Campanella,1,BELOW AVERAGE
Miles Davis,37,ABOVE AVERAGE
Milton Nascimento,26,ABOVE AVERAGE
Motörhead,15,ABOVE AVERAGE
Mônica Marianno,12,AVERAGE
Mötley Crüe,17,ABOVE AVERAGE
Nash Ensemble,1,BELOW AVERAGE
Nicolaus Esterhazy Sinfonia,1,BELOW AVERAGE
Nirvana,29,ABOVE AVERAGE
O Rappa,17,ABOVE AVERAGE
O Terço,15,ABOVE AVERAGE
Olodum,14,ABOVE AVERAGE
Orchestra of The Age of Enlightenment,1,BELOW AVERAGE
Orchestre Révolutionnaire et Romantique & John Eliot Gardiner,1,BELOW AVERAGE
Os Mutantes,14,ABOVE AVERAGE
Os Paralamas Do Sucesso,49,ABOVE AVERAGE
Otto Klemperer & Philharmonia Orchestra,1,BELOW AVERAGE
Ozzy Osbourne,32,ABOVE AVERAGE
Page & Plant,12,AVERAGE
Passengers,14,ABOVE AVERAGE
Paul D'Ianno,10,BELOW AVERAGE
Pearl Jam,67,ABOVE AVERAGE
Philharmonia Orchestra & Sir Neville Marriner,1,BELOW AVERAGE
Philip Glass Ensemble,1,BELOW AVERAGE
Pink Floyd,9,BELOW AVERAGE
Planet Hemp,16,ABOVE AVERAGE
Queen,45,ABOVE AVERAGE
R.E.M.,41,ABOVE AVERAGE
R.E.M. Feat. Kate Pearson,11,BELOW AVERAGE
Raimundos,10,BELOW AVERAGE
Raul Seixas,14,ABOVE AVERAGE
Red Hot Chili Peppers,48,ABOVE AVERAGE
"Richard Marlow & The Choir of Trinity College, Cambridge",1,BELOW AVERAGE
